data,category
"CURRICULUM VITAE
Shiv Ahluwalia
(M) +919911185086
CA, MBA Finance, B.Com (H)
",Education
"E-mail: cashivahluwalia86@rediffmail.com
cashivahluwalia86@gmail.com
",Personal
"OBJECTIVE
",No_Label
"To learn, grow and make a career in the area of financial, statutory and regulatory reporting with technology domain,
take responsibilities which are challenging and innovative thereby render significant business growth for the organization.
",No_Label
"CORE KNOWLEDGE & SKILL AREAS
",No_Label
"Regulatory Reporting,
PRA/EBA/ICAAP Stress Testing,
Treasury Risk Reporting,
US GAAP & UK GAAP,
",Skills
"Legal entity controllership,
STDF Reporting
Risk & Controls RCA,
IFRS Reporting,
Techno-Functional Role,
",Skills
"Internal Audit, SOX and BCBS 239,
Credit Risk & Market Risk,
BASEL Regulations,
Financial Reporting & Control,
Model Risk management,
",Skills
"SEC XBRL & HMRC iXBRL,
",Skills
"ADDITIONAL SKILLS
",No_Label
"Computing - Advance MS Office Application, MS Visio, Hyperion, Saracen, RCT, QlikView, Business analytics tools
– Tableau, Workiva, QRM, Base and Advanced SAS, VART, Griffin, ORCIT, Axiom Controller View, VBA Macro,
SQL, XBRL, iXBRL & SAP systems, FDW Oracle, X-Rep, PBCS system, MRM system, MiNT application, Agile
methodology, Kanban tool, confluence tool & SharePoint.
",Skills
"PROFESSIONAL SYNOPSIS
",No_Label
"Chartered Accountant and MBA Finance has over + 14 years' experience including 11 years of post-qualification experience with renowned organizations offering qualitative services in financial reporting &
regulatory risk domain.
Strong exposure in the field of Financial, Regulatory, Credit Risk, Treasury, Capital, Recovery Planning,
Tax vertical and liaise with multiple stakeholder's management and governance committee to execute the process,
financials analysis, key risk, model documents, model framework & testing controls, review observations and
provide analysis on external regulatory submissions.
Responsible for PRA/EBA/ICAAP/ILAAP/EV/9+3 Stress Testing results submissions, risk based audit, identify
weaknesses, processes improvements, risk & controls management, QRM, STDF reporting, Recovery template,
Capital input consolidation, Model risk Management, BCBS 239 compliance and principles, SOX 404 assessment,
BASEL reporting, Change Management, XBRL, Taxonomy Review, US GAAP, UK GAAP, India GAAP and
IFRS IND (AS), COREP/FINREP, etc.
Working closely with the capital management team in Treasury to provide second line oversight in the Capital and
liquidity management actions for actuals and stress testing space.
Transitioning of Financial and regulatory reporting process from UK onshore to India offshore.
Responsible for update the process and controls documentations for IFRS 9 actuals & projections and controls review
which should be implemented around the process.
",Skills
"Actively involved in data consolidation and review of annual/quarterly regulatory/financial reports, recovery
qualitative templates, regulatory reporting and other local reporting requirements.
Perform review of Pillar 3 disclosures, regulatory submissions, a proper governance, reconciliations,
continuous process improvements, controls and documentation.
Working experience in Control Environment on process requirement, risk identification analysis, design, planning,
execution, testing, control mechanism, control evidencing and stakeholder's sign off.
Update documentation including process flowcharts, process narratives, risk and controls matrix and evaluate
controls as new systems are developed and/or process changes.
Line Manager responsibility for 4-5 team members. Current my reporting is directly to Managing Director, Head
of Risk Analytics India region.
Extensive experience in finance systems working in Hyperion Finance Management, SAP, XBRL Taxonomy,
Finance Transformation Platform, Oracle, GL System, Business warehouse & SQL tool.
",Skills
"ACADEMIC QUALIFICATIONS
",No_Label
"Institute Name
",No_Label
"Institute of Chartered
Accountants of India, Delhi
",Education
"Degree and Year
sociate Chartered Accounta
(CA - 2009 Batch)
Master of Business Administration
(MBA Finance – 2009 Batch)
Bachelor of Commerce (Honours)
(B. Com - Regular) – Graduation 2006
",Education
"Major and Specialization
Finance, Auditing, Accounting
& Taxation
Finance Specialization
",No_Label
"Dayanand
",No_Label
"Maharishi
University, Rohtak
Rajdhani Collage,
Delhi University
",Education
"Finance & Commerce
",No_Label
"WORK EXPERIENCE
",No_Label
"Organization: Bank of America, Gurgaon
Sept 2020 till date
Senior Country Controller, FAKC Vertical
Responsible for country controllership activities of the EMEA entities and branches in the UK, Ireland, and France
ranging various regulatory reporting, financial statements preparation, tax compliance, general accounting,
internal reporting, Risk and compliance management and other related activities.
Leading the all-regulatory reporting for single resolution board regulator in UK.
Responsible for quarterly provisioning for NPEs under ECBs requirement, maintaining the NPE's details,
calculating minimum provisions to be charged and prepare pack for board meeting.
Responsible for Bank's external tax reporting- MEDALLION RETURN with ROS and dormant accounts with
NTMA (National Treasury Management Agency)
Responsible for review of entity financial reports e.g. Management financial statements, Governance packs, Fair
value disclosures sign off, P&L trend analysis, Balance sheet analysis
Controls, Issue and Action plan Tracking for entity which includes creation, tracking, resolving of various Issues
to be raised by FLUs, Corp Audit etc.
Participate in the annual ILAAP and ICAAP process, controls, basis of preparation (BOP), capital input
consolidation, and review & challenge, the assumptions.
Build relationships across CFO teams including LOB Finance CFOs, Treasury, Liquidity and Tax to understand
and resolve accounting and reporting issues.
Internal reporting for various AQR matters, supporting IFRS calculations for loan modifications, stress testing
reports under EBA requirement and preparing a gap analysis to be recorded etc
",Work_Experience
